City ID,City,Country,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed
1283217,Khanbari,NP,47.75,27.3747,87.2039,84,94,5.19
1738050,Marabu,MY,78.94,4.4148,114.0089,94,40,2.3
5660340,Kalispell,US,41.38,48.1958,-114.3129,72,100,3.44
5955902,Fort Nelson,CA,9.99,58.8053,-122.7002,85,75,3.44
2082539,Merauke,ID,83.25,-8.4667,140.3333,76,78,8.68
1268686,Beri,IN,50.45,25.9031,79.8902,95,0,5.75
3443061,Chui,UY,65.61,-33.6971,-53.4616,76,0,8.63
6101141,Penticton,CA,47.68,49.4806,-119.5858,67,75,10.36
6050066,La Ronge,CA,10.65,55.1001,-105.2842,79,100,4.61
5118693,Glens Falls,US,40.96,43.3095,-73.644,79,0,1.99
6170031,Tuktoyaktuk,CA,-22.0,69.4541,-133.0374,76,75,18.41
6111696,Port-Cartier,CA,28.74,50.0334,-66.8654,94,100,6.53
3466704,Castro,BR,59.97,-24.7911,-50.0119,97,7,7.14
5044290,Saint Anthony,US,30.13,45.0205,-93.218,73,100,18.41
3398076,Ipueiras,BR,76.48,-7.0333,-40.45,63,100,6.06
1642773,Japura,ID,72.52,-0.3167,102.35,95,100,1.61
1214026,Sabang,ID,80.71,5.8933,95.3214,76,100,9.19
1272140,Dwārka,IN,69.1,22.2394,68.9678,47,6,12.64
2063042,Port Hedland,AU,86.05,-20.3167,118.5667,70,12,19.57
2729907,Longyearbyen,SJ,13.84,78.2186,15.6401,85,40,5.75
487928,Novikovo,RU,30.4,51.1537,37.8879,88,86,10.89
511196,Perm,RU,24.26,58.0174,56.2855,74,75,11.18
2128072,Shiraoi,JP,17.62,42.55,141.35,74,9,1.97
5746545,Portland,US,60.46,45.5234,-122.6762,71,75,3.44
1640972,Katobu,ID,77.74,-4.9408,122.5276,91,100,5.99
1270543,Hāflong,IN,52.99,25.1833,93.0333,76,14,0.31
1517637,Ushtobe,KZ,25.56,45.2514,77.9838,97,100,5.84
3472473,Alto Araguaia,BR,68.97,-17.3147,-53.2153,91,100,3.65
2246550,Dagana,MR,75.18,16.5165,-15.5068,8,24,11.39
3515484,Tlacolula,MX,74.07,16.9542,-96.4792,74,82,7.99
3421982,Maniitsoq,GL,16.59,65.4167,-52.9,93,100,10.98
3355672,Lüderitz,NA,73.54,-26.6481,15.1594,52,76,17.02
1524302,Ereymentau,KZ,-7.24,51.6199,73.1033,100,86,5.17
2255564,Ouésso,CG,72.48,1.6136,16.0517,33,81,3.67
4726521,San Patricio,US,66.88,28.017,-97.5169,49,3,8.79
2460546,Banamba,ML,69.73,13.55,-7.45,13,1,9.93
2514651,Los Llanos de Aridane,ES,68.13,28.6585,-17.9182,41,0,3.44
2180815,Tuatapere,NZ,73.81,-46.1333,167.6833,48,16,1.92
2510573,Teguise,ES,68.22,29.0605,-13.564,43,0,5.75
1814087,Dalian,CN,30.13,38.9122,121.6022,86,2,0.0
1235846,Matara,LK,74.62,5.9485,80.5353,84,75,3.83
1636308,Manokwari,ID,77.81,-0.8667,134.0833,84,100,7.87
1507390,Dikson,RU,5.32,73.5069,80.5464,94,100,20.83
2122090,Pevek,RU,-31.52,69.7008,170.3133,99,100,5.26
2156643,Mount Gambier,AU,69.71,-37.8333,140.7667,49,75,14.97
89113,Ajdabiya,LY,48.78,30.7554,20.2263,67,0,7.83
3424901,Aasiaat,GL,-2.15,68.7098,-52.8699,96,100,19.64
3932145,Pisco,PE,72.01,-13.7,-76.2167,88,40,4.61
5364271,Laguna,US,76.84,38.421,-121.4238,46,0,5.75
5367788,Lompoc,US,84.51,34.6391,-120.4579,28,0,9.22
2022773,Khandyga,RU,-29.69,62.6667,135.6,98,93,0.58
2381334,Atar,MR,68.67,20.5169,-13.0499,12,13,9.73
2097418,Finschhafen,PG,84.34,-6.6024,147.8681,74,100,5.1
4032369,Pangai,TO,80.71,-19.8,-174.35,82,58,23.76
921906,Domoni,KM,79.2,-12.2569,44.5319,85,99,8.86
2264557,Ponta do Sol,PT,65.12,32.6667,-17.1,45,100,4.79
2122104,Petropavlovsk-Kamchatskiy,RU,19.99,53.0452,158.6483,79,75,8.95
2016307,Solnechnyy,RU,6.84,50.7214,136.6319,90,99,2.13
2324767,Potiskum,NG,63.59,11.7091,11.0694,10,12,10.04
3336897,La Rioja,ES,36.05,42.25,-2.5,55,0,4.9
2121385,Severo-Kuril'sk,RU,31.01,50.6789,156.125,75,100,19.19
1652203,Xam Nua,LA,59.18,20.4197,104.0439,85,35,1.81
3674130,Mutatá,CO,74.12,7.2441,-76.4356,98,100,1.16
3929631,San Isidro,PE,71.51,-12.1167,-77.05,63,0,4.61
5380437,Pacific Grove,US,75.42,36.6177,-121.9166,51,0,8.01
3128760,Barcelona,ES,49.86,41.3888,2.159,84,0,4.61
2268406,Evora,PT,45.54,38.5667,-7.9,66,3,5.14
2094746,Kandrian,PG,86.77,-6.2167,149.55,63,96,5.44
3374120,Vila do Maio,CV,73.17,15.1333,-23.2167,81,100,7.2
1128239,Rūdbār,AF,51.93,30.15,62.6,27,0,7.4
1490591,Suslovo,RU,-16.1,56.2167,88.1167,94,6,7.25
2214432,Nālūt,LY,44.8,30.3333,10.85,58,2,12.88
2451184,Sikasso,ML,74.34,10.9167,-7.0,17,0,2.89
1497549,Nizhneudinsk,RU,-13.45,54.9076,99.0276,98,100,1.36
2077895,Alice Springs,AU,81.95,-23.7,133.8833,34,0,12.66
3351380,Caconda,AO,56.52,-13.7333,15.0667,93,100,2.33
4204007,Kingsland,US,51.82,30.8,-81.6898,89,0,3.02
5870133,Nome,US,-11.13,64.5011,-165.4064,70,20,6.91
1487048,Vkhodnoy,RU,-7.71,54.9518,73.1711,77,0,8.95
2610343,Vestmanna,FO,32.92,62.1564,-7.1664,75,100,10.36
2157698,Mildura,AU,70.07,-34.2,142.15,49,97,10.36
352628,Maţāy,EG,47.84,28.419,30.7792,63,1,8.14
3372472,Vila Franca do Campo,PT,58.19,37.7167,-25.4333,79,28,9.01
1062553,Mahanoro,MG,75.25,-19.9,48.8,92,14,2.42
6095751,Oxbow,CA,22.95,49.2333,-102.1676,97,10,4.07
3628473,San Cristobal,VE,73.58,7.7669,-72.225,91,92,1.61
1244926,Hambantota,LK,73.74,6.1241,81.1185,100,20,4.61
145724,Lucapa,AO,64.56,-8.4192,20.7447,82,100,1.97
665790,Sulina,RO,36.07,45.1559,29.6536,80,7,7.58
2444995,Filingué,NE,70.99,14.3521,3.3168,12,0,10.92
777682,Skjervøy,NO,29.55,70.0311,20.9714,60,95,13.15
2019135,Nizhniy Kuranakh,RU,-20.13,58.8353,125.4869,98,100,1.45
1226260,Trincomalee,LK,78.3,8.5711,81.2335,83,100,11.68
1609278,Laem Sing,TH,84.42,12.4816,102.0738,92,59,1.23
3391287,Prainha,BR,74.12,-1.8,-53.48,94,100,1.34
6255012,Flinders,AU,86.81,-34.5833,150.8552,56,5,5.99
1140025,Herat Province,AF,42.78,34.5,62.0,38,0,7.9
2455290,Kidal,ML,67.28,18.4411,1.4078,8,0,7.36
2331140,Makurdi,NG,79.27,7.7411,8.5121,14,8,4.68
2319078,Wawa,NG,78.12,9.9022,4.4192,21,3,6.04
730866,Isperih,BG,36.0,43.7167,26.8333,77,6,6.04
4207783,Marietta,US,55.76,33.9526,-84.5499,44,0,6.91
3622716,Nicoya,CR,81.95,10.1483,-85.452,65,21,7.2
934479,Grand Gaube,MU,74.37,-20.0064,57.6608,75,99,4.0
3422683,Kangaatsiaq,GL,-9.6,68.3065,-53.4641,98,100,15.48
5703673,Elko,US,50.02,41.0002,-115.5012,75,5,3.56
2094342,Kavieng,PG,84.04,-2.5744,150.7967,72,30,5.86
1698289,Pundaguitan,PH,80.8,6.3711,126.1689,78,100,10.67
5404476,Ukiah,US,76.96,39.1502,-123.2078,32,0,3.44
1648186,Bontang,ID,76.44,0.1333,117.5,90,100,3.29
1795196,Tongchuanshi,CN,32.61,35.0806,109.0897,65,100,2.62
1517323,Zhanakorgan,KZ,30.76,43.9098,67.2495,81,16,8.93
3458266,Macaé,BR,71.35,-22.3708,-41.7869,100,100,2.3
3573374,The Valley,AI,78.66,18.217,-63.0578,65,0,20.47
1337605,Mahibadhoo,MV,80.62,3.7833,72.9667,76,42,8.39
4036284,Alofi,NU,85.89,-19.0595,-169.9187,70,75,9.22
2171099,Codrington,AU,65.89,-38.2667,141.9667,57,93,14.85
6144312,Sept-Îles,CA,29.05,50.2001,-66.3821,92,100,9.22
3936456,Lima,PE,70.39,-12.0432,-77.0282,56,0,4.61
553310,Kamyshevatskaya,RU,36.48,46.4132,37.9563,83,100,12.06
2150163,Sawtell,AU,84.18,-30.3833,153.1,58,0,6.91
4021858,Guerrero Negro,MX,66.42,27.9769,-114.0611,44,0,9.24
60019,Eyl,SO,71.67,7.9803,49.8164,73,2,14.88
5110365,Broome,US,43.38,42.2506,-75.833,61,0,10.0
2119283,Zyryanka,RU,-30.62,65.75,150.85,91,64,5.08
2309528,Luba,GQ,78.69,3.4568,8.5547,82,31,6.22
2448083,Agadez,NE,57.49,19.75,10.25,17,0,10.13
3445026,Vila Velha,BR,75.15,-20.3297,-40.2925,86,75,6.91
2455216,Kita,ML,73.74,13.0349,-9.4895,13,0,5.48
2126710,Beringovskiy,RU,-16.37,63.05,179.3167,86,2,10.51
4589446,North Myrtle Beach,US,48.11,33.816,-78.68,72,0,4.61
1506268,Gornopravdinsk,RU,-3.08,60.05,69.9,95,6,7.2
2191562,Dunedin,NZ,64.4,-45.8742,170.5036,90,88,5.84
3356264,Keetmanshoop,NA,79.97,-26.5833,18.1333,25,74,11.52
3577430,Road Town,VG,77.04,18.4167,-64.6167,83,40,8.05
2134814,Sola,VU,82.17,-13.8833,167.55,79,100,25.86
470473,Vygonichi,RU,32.11,53.0985,34.0673,80,100,8.95
